NO_OF_FRAMES	5000
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-09-17, 16:37:20.571	428377.36681510
DATA_INCLUDED	3D
MARKER_NAMES	1	2
TRAJECTORY_TYPES	Measured	Measured
Frame	Time	1 X	1 Y	1 Z	2 X	2 Y	2 Z	
184	0.36600	295.808	-0.263	403.700	0.000	0.000	0.000
185	0.36800	295.783	-0.256	403.688	0.000	0.000	0.000
186	0.37000	295.758	-0.243	403.700	0.000	0.000	0.000
187	0.37200	295.733	-0.237	403.686	0.000	0.000	0.000
188	0.37400	295.708	-0.230	403.698	0.000	0.000	0.000
189	0.37600	295.675	-0.217	403.697	0.000	0.000	0.000
190	0.37800	295.658	-0.204	403.696	0.000	0.000	0.000
191	0.38000	295.633	-0.191	403.683	0.000	0.000	0.000
192	0.38200	295.599	-0.171	403.683	0.000	0.000	0.000
193	0.38400	295.575	-0.171	403.695	0.000	0.000	0.000
194	0.38600	295.558	-0.158	403.694	0.000	0.000	0.000
195	0.38800	295.516	-0.138	403.681	0.000	0.000	0.000
196	0.39000	295.491	-0.132	403.693	0.000	0.000	0.000
197	0.39200	295.458	-0.119	403.692	0.000	0.000	0.000
198	0.39400	295.425	-0.112	403.692	0.000	0.000	0.000
199	0.39600	295.392	-0.113	403.692	0.000	0.000	0.000
200	0.39800	295.351	-0.121	403.704	0.000	0.000	0.000
201	0.40000	295.318	-0.121	403.703	0.000	0.000	0.000
202	0.40200	295.285	-0.122	403.702	0.000	0.000	0.000
203	0.40400	295.236	-0.130	403.702	0.000	0.000	0.000
204	0.40600	295.203	-0.124	403.701	0.000	0.000	0.000
205	0.40800	295.162	-0.131	403.713	0.000	0.000	0.000
206	0.41000	295.129	-0.132	403.713	0.000	0.000	0.000
207	0.41200	295.096	-0.132	403.711	0.000	0.000	0.000
208	0.41400	295.063	-0.140	403.711	0.000	0.000	0.000
209	0.41600	295.030	-0.134	403.735	0.000	0.000	0.000
210	0.41800	295.005	-0.134	403.721	0.000	0.000	0.000
211	0.42000	294.972	-0.128	403.721	0.000	0.000	0.000
212	0.42200	294.947	-0.122	403.707	0.000	0.000	0.000
213	0.42400	294.914	-0.122	403.707	0.000	0.000	0.000
214	0.42600	294.889	-0.109	403.719	0.000	0.000	0.000
215	0.42800	294.864	-0.103	403.705	0.000	0.000	0.000
216	0.43000	294.831	-0.096	403.704	0.000	0.000	0.000
217	0.43200	294.807	-0.097	403.692	0.000	0.000	0.000
218	0.43400	294.782	-0.097	403.704	0.000	0.000	0.000
219	0.43600	294.757	-0.098	403.692	0.000	0.000	0.000
220	0.43800	294.724	-0.092	403.691	0.000	0.000	0.000
221	0.44000	294.699	-0.085	403.678	0.000	0.000	0.000
222	0.44200	294.683	-0.086	403.678	0.000	0.000	0.000
223	0.44400	294.658	-0.086	403.690	0.000	0.000	0.000
224	0.44600	294.625	-0.087	403.690	0.000	0.000	0.000
225	0.44800	294.601	-0.081	403.677	0.000	0.000	0.000
226	0.45000	294.568	-0.081	403.677	0.000	0.000	0.000
227	0.45200	294.535	-0.075	403.677	0.000	0.000	0.000
228	0.45400	294.510	-0.075	403.689	0.000	0.000	0.000
229	0.45600	294.485	-0.076	403.676	0.000	0.000	0.000
230	0.45800	294.461	-0.076	403.688	0.000	0.000	0.000
231	0.46000	294.428	-0.077	403.688	0.000	0.000	0.000
232	0.46200	294.379	-0.085	403.687	0.000	0.000	0.000
233	0.46400	294.346	-0.086	403.687	0.000	0.000	0.000
234	0.46600	294.313	-0.086	403.686	0.000	0.000	0.000
235	0.46800	294.271	-0.087	403.697	0.000	0.000	0.000
236	0.47000	294.238	-0.087	403.696	0.000	0.000	0.000
237	0.47200	294.198	-0.102	403.708	0.000	0.000	0.000
238	0.47400	294.165	-0.103	403.708	0.000	0.000	0.000
239	0.47600	294.132	-0.110	403.707	0.000	0.000	0.000
240	0.47800	294.091	-0.118	403.718	0.000	0.000	0.000
241	0.48000	294.066	-0.118	403.730	0.000	0.000	0.000
242	0.48200	294.033	-0.132	403.729	0.000	0.000	0.000
243	0.48400	294.000	-0.119	403.728	0.000	0.000	0.000
244	0.48600	293.959	-0.127	403.715	0.000	0.000	0.000
245	0.48800	293.926	-0.127	403.739	0.000	0.000	0.000
246	0.49000	293.901	-0.128	403.727	0.000	0.000	0.000
247	0.49200	293.869	-0.135	403.726	0.000	0.000	0.000
248	0.49400	293.836	-0.129	403.726	0.000	0.000	0.000
249	0.49600	293.803	-0.137	403.725	0.000	0.000	0.000
250	0.49800	293.778	-0.130	403.712	0.000	0.000	0.000
251	0.50000	293.754	-0.138	403.700	0.000	0.000	0.000
252	0.50200	293.713	-0.139	403.687	0.000	0.000	0.000
253	0.50400	293.689	-0.146	403.675	0.000	0.000	0.000
254	0.50600	293.656	-0.147	403.674	0.000	0.000	0.000
255	0.50800	293.631	-0.147	403.662	0.000	0.000	0.000
256	0.51000	293.615	-0.155	403.662	0.000	0.000	0.000
257	0.51200	293.590	-0.155	403.674	0.000	0.000	0.000
258	0.51400	293.557	-0.149	403.674	0.000	0.000	0.000
259	0.51600	293.524	-0.149	403.673	0.000	0.000	0.000
260	0.51800	293.508	-0.157	403.673	0.000	0.000	0.000
261	0.52000	293.475	-0.150	403.673	0.000	0.000	0.000
262	0.52200	293.442	-0.151	403.672	0.000	0.000	0.000
263	0.52400	293.409	-0.152	403.672	0.000	0.000	0.000
264	0.52600	293.384	-0.145	403.684	0.000	0.000	0.000
265	0.52800	293.351	-0.146	403.684	0.000	0.000	0.000
266	0.53000	293.319	-0.160	403.683	0.000	0.000	0.000
267	0.53200	293.285	-0.161	403.707	0.000	0.000	0.000
268	0.53400	293.244	-0.162	403.694	0.000	0.000	0.000
269	0.53600	293.203	-0.176	403.706	0.000	0.000	0.000
270	0.53800	293.179	-0.170	403.693	0.000	0.000	0.000
271	0.54000	293.129	-0.177	403.717	0.000	0.000	0.000
272	0.54200	293.096	-0.185	403.717	0.000	0.000	0.000
273	0.54400	293.063	-0.179	403.716	0.000	0.000	0.000
274	0.54600	293.022	-0.193	403.728	0.000	0.000	0.000
275	0.54800	292.990	-0.201	403.727	0.000	0.000	0.000
276	0.55000	292.957	-0.201	403.727	0.000	0.000	0.000
277	0.55200	292.924	-0.216	403.726	0.000	0.000	0.000
278	0.55400	292.883	-0.216	403.738	0.000	0.000	0.000
279	0.55600	292.858	-0.217	403.725	0.000	0.000	0.000
